Time: 20200528-094743, Setting: miniImagenet-novel-Conv4-baseline-aug 50shot 5way_test, Acc: 600 Test Acc = 79.01% +- 0.51% 
Time: 20200528-094744, Setting: miniImagenet-novel-Conv4-baseline-aug 50shot 5way_test, Acc: 600 Test Acc = 73.42% +- 0.52% 
Time: 20200528-094746, Setting: miniImagenet-novel-Conv4-baseline-aug 50shot 5way_test, Acc: 600 Test Acc = 63.63% +- 0.61% 
Time: 20200528-094746, Setting: miniImagenet-novel-Conv4-baseline-aug 50shot 5way_test, Acc: 600 Test Acc = 73.29% +- 0.58% 
Time: 20200528-094747, Setting: miniImagenet-novel-Conv4-baseline-aug 50shot 5way_test, Acc: 600 Test Acc = 75.05% +- 0.56% 
Time: 20200528-094747, Setting: miniImagenet-novel-Conv4-baseline-aug 50shot 5way_test, Acc: 600 Test Acc = 70.44% +- 0.53% 
Time: 20200528-095046, Setting: miniImagenet-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 52.03% +- 0.72% 
Time: 20200528-100034, Setting: miniImagenet-novel-Conv4-baseline-aug 20shot 5way_test, Acc: 600 Test Acc = 63.04% +- 0.68% 
Time: 20200528-101647, Setting: miniImagenet-novel-Conv4-baseline-aug 50shot 5way_test, Acc: 600 Test Acc = 68.34% +- 0.64% 
Time: 20200528-104944, Setting: miniImagenet-novel-Conv4-baseline-aug 1shot 5way_test, Acc: 600 Test Acc = 26.77% +- 0.52% 
Time: 20200528-105326, Setting: miniImagenet-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 34.68% +- 0.58% 
Time: 20200528-110239, Setting: miniImagenet-novel-Conv4-baseline-aug 20shot 5way_test, Acc: 600 Test Acc = 44.62% +- 0.61% 
Time: 20200528-111849, Setting: miniImagenet-novel-Conv4-baseline-aug 50shot 5way_test, Acc: 600 Test Acc = 51.79% +- 0.61% 
